
Old Testament 1		      Old Testament 2		       New Testamemt
Deut. 23:9 to 24:22     Jonah 1, 2               Luke 12:41-59
Deut. 25:1 to 26:15     Jonah 3, 4               Luke 13:1-21
Deut. 26:16 to 27:26    Amos 1, 2                Luke 13:22-35
Deut. 28:1-37           Amos 3, 4                Luke 14:1-24
Deut. 28:38-68          Amos 5, 6                Luke 14:25 to 15:10
Deut. 29                Amos 7, 8                Luke 15:11-32
Deut. 30:1 to 31:13     Amos 9                   Luke 16
Deut. 31:14 to 32:14    Hosea 1:1 to 2:1         Luke 17:1-19
Deut. 32:15-52          Hosea 2:2 to 3:5         Luke 17:20 to 18:14
Deut. 33                Hosea 4:1 to 6:3         Luke 18:15-43
Deut. 34                Hosea 6:4 to 7:16        Luke 19:1-28
Joshua 1                Hosea 8, 9               Luke 19:29-48
Joshua 2                Hosea 10:1 to 11:11      Luke 20:1-19
Joshua 3                Hosea 11:12 to 14:9      Luke 20:20 to 21:4
Joshua 4:1 to 5:12      Isa. 1                   Luke 21:5-38
Joshua 5:13 to 6:27     Isa. 2                   Luke 22:1-30
Joshua 7                Isa. 3, 4                Luke 22:31-53
Joshua 8                Isa. 5                   Luke 22:54 to 23:12
Joshua 9                Isa. 6                   Luke 23:13-46
Joshua 10               Isa. 7:1 to 8:4          Luke 23:47 to 24:12
Joshua 11, 12           Isa. 8:5 to 9:7          Luke 24:13-53
Joshua 13               Isa. 9:8 to 10:5         1 Thess. 1

July
Joshua 14, 15           Isa. 10:6-34             1 Thess. 2:1-16
Joshua 16, 17           Isa. 11, 12              1 Thess. 2:17 to 3:13
Joshua 18, 19           Isa. 13                  1 Thess. 4
Joshua 20, 21           Isa. 14                  1 Thess. 5
Joshua 22               Isa. 15, 16              2 Thess. 1
Joshua 23               Isa. 17, 18              2 Thess. 2
Joshua 24               Isa. 19, 20              2 Thess. 3
Judges 1:1 to 2:5       Isa. 21:1 to 22:14       1 Cor. 1
Judges 2:6 to 3:4       Isa. 22:15 to 23:18      1 Cor. 2
Judges 3:5-31           Isa. 24                  1 Cor. 3
Judges 4                Isa. 25                  1 Cor. 4
Judges 5                Isa. 26                  1 Cor. 5
Judges 6                Isa. 27                  1 Cor. 6
Judges 7                Isa. 28                  1 Cor. 7
Judges 8                Isa. 29                  1 Cor. 8
Judges 9:1 to 10:5      Isa. 30                  1 Cor. 9:1-23
Judges 10:6 to 11:28    Isa. 31, 32              1 Cor. 9:24 to 10:14
Judges 11:29 to 12:15   Isa. 33                  1 Cor. 10:15 to 11:1
Judges 13               Isa. 34, 35              1 Cor. 11:2-34
Judges 14, 15           Isa. 36:1 to 37:7        1 Cor. 12
Judges 16               Isa. 37:8-38             1 Cor. 13
Judges 17, 18           Isa. 38, 39              1 Cor. 14
Judges 19               Isa. 40                  1 Cor. 15:1-34
Judges 20               Isa. 41:1-20             1 Cor. 15:35-58
Judges 21               Isa. 41:21 to 42:21      1 Cor. 16
Ruth 1                  Isa. 42:22 to 43:10      2 Cor. 1
Ruth 2                  Isa. 43:11 to 44:5       2 Cor. 2
Ruth 3, 4               Isa. 44:6-23             2 Cor. 3:1 to 4:6
1 Sam. 1                Isa. 44:24 to 45:8       2 Cor. 4:7 to 5:10
1 Sam. 2                Isa. 45:9-25             2 Cor. 5:11 to 6:10
1 Sam. 3                Isa. 46                  2 Cor. 6:11 to 7:16

August
1 Sam. 4, 5             Isa. 47                  2 Cor. 8
1 Sam. 6, 7             Isa. 48                  2 Cor. 9
1 Sam. 8:1 to 9:14      Isa. 49                  2 Cor. 10
1 Sam. 9:15 to 10:27    Isa. 50:1 to 51:8        2 Cor. 11
1 Sam. 11, 12           Isa. 51:9-23             2 Cor. 12:1-13
1 Sam. 13               Isa. 52:1-12             2 Cor. 12:14 to 13:14
1 Sam. 14               Isa. 52:13 to 53:12      Rom. 1:1-16
1 Sam. 15               Isa. 54                  Rom. 1:17-32
1 Sam. 16               Isa. 55:1 to 56:8        Rom. 2
1 Sam. 17:1-31          Isa. 56:9 to 57:21       Rom. 3
1 Sam. 17:32-58         Isa. 58                  Rom. 4:1-22
1 Sam. 18:1 to 19:7     Isa. 59                  Rom. 4:23 to 5:11
1 Sam. 19:8 to 20:42    Isa. 60                  Rom. 5:12-21
1 Sam. 21, 22           Isa. 61                  Rom. 6:1-14
1 Sam. 23, 24           Isa. 62:1 to 63:14       Rom. 6:15 to 7:6
1 Sam. 25               Isa. 63:15 to 64:12      Rom. 7:7-25
1 Sam. 26, 27           Isa. 65                  Rom. 8:1-17
1 Sam. 28, 29           Isa. 66                  Rom. 8:18-39
